Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
amsterdam-muiderpoort,2020,7568,0%,7455,113,17%,19%,64%,54%,62%,37%,15%,9%,22%,0%,0%,0%,1%,0%,0%
amsterdam-muiderpoort,2021,7966,0%,7870,96,16%,19%,65%,54%,62%,37%,15%,9%,22%,0%,0%,0%,1%,0%,0%
amsterdam-muiderpoort,2022,11184,0%,11041,143,17%,18%,65%,54%,62%,37%,15%,9%,22%,0%,0%,0%,1%,0%,0%
amsterdam-rai,2019,4842,61%,4842,0,14%,25%,61%,37%,79%,50%,7%,11%,9%,1%,1%,1%,4%,0%,0%
amsterdam-rai,2020,2113,0%,2113,0,13%,23%,64%,37%,79%,50%,7%,11%,9%,1%,1%,1%,4%,0%,0%
amsterdam-rai,2021,2043,0%,2043,0,12%,22%,66%,37%,79%,50%,7%,11%,9%,1%,1%,1%,4%,0%,0%
amsterdam-rai,2022,3621,0%,3621,0,12%,22%,66%,37%,79%,50%,7%,11%,9%,1%,1%,1%,4%,0%,0%
amsterdam-science-park,2019,4869,73%,4869,0,8%,29%,63%,59%,92%,37%,5%,3%,2%,0%,0%,1%,1%,0%,0%
amsterdam-science-park,2020,2131,0%,2131,0,8%,27%,65%,59%,92%,37%,5%,3%,2%,0%,0%,1%,1%,0%,0%
amsterdam-science-park,2021,2357,0%,2357,0,7%,28%,65%,59%,92%,37%,5%,3%,2%,0%,0%,1%,1%,0%,0%
amsterdam-science-park,2022,3665,0%,3665,0,7%,28%,65%,59%,92%,37%,5%,3%,2%,0%,0%,1%,1%,0%,0%
amsterdam-sloterdijk,2019,71774,61%,60472,11302,10%,31%,59%,15%,47%,38%,9%,44%,42%,1%,0%,2%,2%,0%,0%
amsterdam-sloterdijk,2020,30999,0%,25981,5018,9%,28%,63%,15%,47%,38%,9%,44%,42%,1%,0%,2%,2%,0%,0%
amsterdam-sloterdijk,2021,29649,0%,24411,5238,10%,26%,64%,15%,47%,38%,9%,44%,42%,1%,0%,2%,2%,0%,0%
amsterdam-sloterdijk,2022,46362,0%,38788,7574,9%,27%,64%,15%,47%,38%,9%,44%,42%,1%,0%,2%,2%,0%,0%
amsterdam-zuid,2019,73612,63%,68699,4913,15%,28%,57%,15%,49%,47%,15%,37%,35%,0%,0%,1%,1%,0%,0%
amsterdam-zuid,2020,30850,0%,28767,2083,13%,25%,62%,15%,49%,47%,15%,37%,35%,0%,0%,1%,1%,0%,0%
amsterdam-zuid,2021,31603,0%,29618,1985,12%,23%,65%,15%,49%,47%,15%,37%,35%,0%,0%,1%,1%,0%,0%
amsterdam-zuid,2022,50262,0%,46629,3633,12%,24%,64%,15%,49%,47%,15%,37%,35%,0%,0%,1%,1%,0%,0%
anna-paulowna,2019,2092,71%,2092,0,39%,7%,54%,12%,21%,43%,12%,5%,9%,19%,12%,21%,46%,0%,0%
anna-paulowna,2020,1106,0%,1106,0,40%,8%,52%,12%,21%,43%,12%,5%,9%,19%,12%,21%,46%,0%,0%
anna-paulowna,2021,1127,0%,1127,0,38%,8%,54%,12%,21%,43%,12%,5%,9%,19%,12%,21%,46%,0%,0%
anna-paulowna,2022,1450,0%,1450,0,37%,8%,55%,12%,21%,43%,12%,5%,9%,19%,12%,21%,46%,0%,0%
beverwijk,2019,5411,53%,5411,0,24%,17%,59%,24%,51%,54%,25%,13%,16%,4%,0%,5%,8%,0%,0%
beverwijk,2020,2687,0%,2687,0,21%,18%,61%,24%,51%,54%,25%,13%,16%,4%,0%,5%,8%,0%,0%
beverwijk,2021,2772,0%,2772,0,20%,18%,62%,24%,51%,54%,25%,13%,16%,4%,0%,5%,8%,0%,0%
beverwijk,2022,3814,0%,3814,0,21%,18%,61%,24%,51%,54%,25%,13%,16%,4%,0%,5%,8%,0%,0%
bloemendaal,2019,1517,78%,1517,0,22%,11%,67%,60%,65%,34%,26%,0%,2%,4%,2%,2%,5%,0%,0%
bloemendaal,2020,807,0%,807,0,18%,16%,66%,60%,65%,34%,26%,0%,2%,4%,2%,2%,5%,0%,0%
bloemendaal,2021,867,0%,867,0,14%,17%,69%,60%,65%,34%,26%,0%,2%,4%,2%,2%,5%,0%,0%
bloemendaal,2022,1179,0%,1179,0,15%,16%,69%,60%,65%,34%,26%,0%,2%,4%,2%,2%,5%,0%,0%
bovenkarspel-flora,2019,705,75%,705,0,30%,9%,61%,43%,44%,41%,40%,1%,3%,8%,1%,7%,12%,0%,0%
bovenkarspel-flora,2020,364,0%,364,0,33%,10%,57%,43%,44%,41%,40%,1%,3%,8%,1%,7%,12%,0%,0%
bovenkarspel-flora,2021,393,0%,393,0,33%,11%,56%,43%,44%,41%,40%,1%,3%,8%,1%,7%,12%,0%,0%
bovenkarspel-flora,2022,517,0%,517,0,32%,10%,58%,43%,44%,41%,40%,1%,3%,8%,1%,7%,12%,0%,0%
bovenkarspel-grootebroek,2019,2336,74%,2336,0,31%,6%,63%,30%,51%,49%,24%,3%,4%,10%,2%,7%,19%,1%,0%
bovenkarspel-grootebroek,2020,1089,0%,1089,0,33%,8%,59%,30%,51%,49%,24%,3%,4%,10%,2%,7%,19%,1%,0%
bovenkarspel-grootebroek,2021,1155,0%,1155,0,32%,8%,60%,30%,51%,49%,24%,3%,4%,10%,2%,7%,19%,1%,0%
bovenkarspel-grootebroek,2022,1511,0%,1511,0,32%,8%,60%,30%,51%,49%,24%,3%,4%,10%,2%,7%,19%,1%,0%
bussum-zuid,2019,4675,76%,4675,0,32%,11%,57%,29%,49%,35%,16%,2%,7%,24%,4%,10%,23%,0%,1%
bussum-zuid,2020,2080,0%,2080,0,27%,12%,61%,29%,49%,35%,16%,2%,7%,24%,4%,10%,23%,0%,1%
bussum-zuid,2021,2258,0%,2258,0,22%,13%,65%,29%,49%,35%,16%,2%,7%,24%,4%,10%,23%,0%,1%
bussum-zuid,2022,3129,0%,3129,0,25%,12%,63%,29%,49%,35%,16%,2%,7%,24%,4%,10%,23%,0%,1%
castricum,2019,9491,62%,7740,1751,36%,8%,56%,21%,34%,48%,33%,5%,13%,15%,3%,11%,17%,0%,0%
castricum,2020,4398,0%,3590,808,31%,10%,59%,21%,34%,48%,33%,5%,13%,15%,3%,11%,17%,0%,0%
castricum,2021,4522,0%,3701,821,28%,11%,61%,21%,34%,48%,33%,5%,13%,15%,3%,11%,17%,0%,0%
castricum,2022,6510,0%,5336,1174,31%,10%,59%,21%,34%,48%,33%,5%,13%,15%,3%,11%,17%,0%,0%
den-helder,2019,4293,59%,4293,0,22%,13%,65%,47%,42%,23%,23%,19%,22%,5%,1%,6%,9%,0%,3%
den-helder,2020,2356,0%,2356,0,21%,16%,63%,47%,42%,23%,23%,19%,22%,5%,1%,6%,9%,0%,3%
den-helder,2021,2462,0%,2462,0,20%,16%,64%,47%,42%,23%,23%,19%,22%,5%,1%,6%,9%,0%,3%
den-helder,2022,3031,0%,3031,0,20%,15%,65%,47%,42%,23%,23%,19%,22%,5%,1%,6%,9%,0%,3%
den-helder-zuid,2019,2210,33%,2210,0,31%,9%,60%,17%,23%,17%,21%,29%,27%,22%,8%,15%,21%,0%,0%
den-helder-zuid,2020,1137,0%,1137,0,31%,9%,60%,17%,23%,17%,21%,29%,27%,22%,8%,15%,21%,0%,0%
den-helder-zuid,2021,1249,0%,1249,0,29%,9%,62%,17%,23%,17%,21%,29%,27%,22%,8%,15%,21%,0%,0%
den-helder-zuid,2022,1598,0%,1598,0,30%,9%,61%,17%,23%,17%,21%,29%,27%,22%,8%,15%,21%,0%,0%
diemen,2019,3328,71%,3328,0,24%,12%,64%,51%,63%,33%,18%,10%,9%,3%,0%,3%,9%,0%,1%
diemen,2020,1747,0%,1747,0,19%,13%,68%,51%,63%,33%,18%,10%,9%,3%,0%,3%,9%,0%,1%
diemen,2021,1772,0%,1772,0,19%,13%,68%,51%,63%,33%,18%,10%,9%,3%,0%,3%,9%,0%,1%
diemen,2022,2310,0%,2310,0,20%,12%,68%,51%,63%,33%,18%,10%,9%,3%,0%,3%,9%,0%,1%
diemen-zuid,2019,3535,58%,3535,0,22%,19%,59%,59%,70%,17%,3%,20%,23%,3%,1%,1%,3%,0%,0%
diemen-zuid,2020,1727,0%,1727,0,20%,18%,62%,59%,70%,17%,3%,20%,23%,3%,1%,1%,3%,0%,0%
diemen-zuid,2021,1972,0%,1972,0,20%,17%,63%,59%,70%,17%,3%,20%,23%,3%,1%,1%,3%,0%,0%
diemen-zuid,2022,2692,0%,2692,0,21%,17%,62%,59%,70%,17%,3%,20%,23%,3%,1%,1%,3%,0%,0%
driehuis,2019,1361,67%,1361,0,25%,8%,67%,28%,58%,33%,14%,6%,5%,26%,2%,7%,21%,0%,0%
driehuis,2020,638,0%,638,0,20%,11%,69%,28%,58%,33%,14%,6%,5%,26%,2%,7%,21%,0%,0%
driehuis,2021,520,0%,520,0,21%,14%,65%,28%,58%,33%,14%,6%,5%,26%,2%,7%,21%,0%,0%
driehuis,2022,757,0%,757,0,23%,12%,65%,28%,58%,33%,14%,6%,5%,26%,2%,7%,21%,0%,0%
duivendrecht,2019,16785,64%,12500,4285,13%,33%,54%,14%,15%,22%,7%,59%,76%,2%,0%,3%,2%,0%,0%
duivendrecht,2020,7134,0%,5386,1748,12%,28%,60%,14%,15%,22%,7%,59%,76%,2%,0%,3%,2%,0%,0%
duivendrecht,2021,6707,0%,5034,1673,13%,24%,63%,14%,15%,22%,7%,59%,76%,2%,0%,3%,2%,0%,0%
duivendrecht,2022,9408,0%,6873,2535,12%,25%,63%,14%,15%,22%,7%,59%,76%,2%,0%,3%,2%,0%,0%
enkhuizen,2019,2326,85%,2326,0,27%,11%,62%,37%,69%,50%,23%,5%,3%,4%,1%,4%,4%,0%,0%
enkhuizen,2020,1076,0%,1076,0,27%,12%,61%,37%,69%,50%,23%,5%,3%,4%,1%,4%,4%,0%,0%
enkhuizen,2021,1187,0%,1187,0,25%,12%,63%,37%,69%,50%,23%,5%,3%,4%,1%,4%,4%,0%,0%
enkhuizen,2022,1607,0%,1607,0,26%,12%,62%,37%,69%,50%,23%,5%,3%,4%,1%,4%,4%,0%,0%
haarlem,2019,48052,91%,43807,4245,28%,15%,57%,22%,52%,52%,21%,23%,22%,1%,1%,2%,3%,0%,1%
haarlem,2020,22108,0%,20367,1741,22%,16%,62%,22%,52%,52%,21%,23%,22%,1%,1%,2%,3%,0%,1%
haarlem,2021,22496,0%,20562,1934,19%,17%,64%,22%,52%,52%,21%,23%,22%,1%,1%,2%,3%,0%,1%
haarlem,2022,33456,0%,30674,2782,21%,16%,63%,22%,52%,52%,21%,23%,22%,1%,1%,2%,3%,0%,1%
haarlem-spaarnwoude,2019,4170,46%,4170,0,23%,22%,55%,28%,63%,32%,13%,6%,3%,27%,4%,7%,17%,0%,0%
haarlem-spaarnwoude,2020,2125,0%,2125,0,18%,24%,58%,28%,63%,32%,13%,6%,3%,27%,4%,7%,17%,0%,0%
haarlem-spaarnwoude,2021,2074,0%,2074,0,16%,24%,60%,28%,63%,32%,13%,6%,3%,27%,4%,7%,17%,0%,0%
haarlem-spaarnwoude,2022,2943,0%,2943,0,18%,23%,59%,28%,63%,32%,13%,6%,3%,27%,4%,7%,17%,0%,0%
halfweg-zwanenburg,2019,3063,63%,3063,0,25%,17%,58%,31%,55%,40%,20%,0%,1%,17%,6%,12%,18%,0%,0%
