Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
obdam,2020,667,0%,667,0,35%,9%,56%,24%,43%,41%,13%,7%,8%,17%,4%,11%,32%,0%,0%
obdam,2021,754,0%,754,0,34%,10%,56%,24%,43%,41%,13%,7%,8%,17%,4%,11%,32%,0%,0%
obdam,2022,988,0%,988,0,36%,8%,56%,24%,43%,41%,13%,7%,8%,17%,4%,11%,32%,0%,0%
overveen,2019,2467,81%,2467,0,12%,22%,66%,59%,92%,33%,5%,0%,1%,7%,1%,1%,1%,0%,0%
overveen,2020,996,0%,996,0,11%,23%,66%,59%,92%,33%,5%,0%,1%,7%,1%,1%,1%,0%,0%
overveen,2021,1262,0%,1262,0,7%,25%,68%,59%,92%,33%,5%,0%,1%,7%,1%,1%,1%,0%,0%
overveen,2022,1604,0%,1604,0,8%,24%,68%,59%,92%,33%,5%,0%,1%,7%,1%,1%,1%,0%,0%
purmerend,2019,2378,58%,2378,0,26%,17%,57%,32%,71%,41%,14%,11%,6%,12%,3%,4%,6%,0%,0%
purmerend,2020,1213,0%,1213,0,23%,17%,60%,32%,71%,41%,14%,11%,6%,12%,3%,4%,6%,0%,0%
purmerend,2021,1278,0%,1278,0,22%,16%,62%,32%,71%,41%,14%,11%,6%,12%,3%,4%,6%,0%,0%
purmerend,2022,1671,0%,1671,0,21%,15%,64%,32%,71%,41%,14%,11%,6%,12%,3%,4%,6%,0%,0%
purmerend-overwhere,2019,2045,51%,2045,0,28%,12%,60%,38%,53%,43%,30%,5%,10%,10%,1%,4%,6%,0%,0%
purmerend-overwhere,2020,1179,0%,1179,0,24%,15%,61%,38%,53%,43%,30%,5%,10%,10%,1%,4%,6%,0%,0%
purmerend-overwhere,2021,1303,0%,1303,0,22%,15%,63%,38%,53%,43%,30%,5%,10%,10%,1%,4%,6%,0%,0%
purmerend-overwhere,2022,1597,0%,1597,0,23%,13%,64%,38%,53%,43%,30%,5%,10%,10%,1%,4%,6%,0%,0%
purmerend-weidevenne,2019,1604,67%,1604,0,38%,6%,56%,50%,47%,31%,21%,1%,1%,13%,8%,5%,23%,0%,0%
purmerend-weidevenne,2020,822,0%,822,0,34%,7%,59%,50%,47%,31%,21%,1%,1%,13%,8%,5%,23%,0%,0%
